Ticker,Company Name,Implied EV,Revenue,Gross Profit,EBITDA,Valuation/Revenue,EBITDA Margin %,Target,Rev_Growth,Gross_Margin,Rule_of_40,Log_EV,Buyout_Prob,Analyst_Upside,Upside_Rank,Conviction_Score
VRNS,VRNS,4070444202.1291046,608677000.0,487206000.0,-84042000.0,6.105246628555219,-0.1380732309582915,0,0.1047772030129776,0.8004343847393609,-3.329602794531384,22.12701797126345,0.7358262252275094,0.6697836294416244,0.7888888888888889,0.7490918911428542
BRZE,BRZE,4784062082.954838,593410000.0,410219000.0,-112044000.0,8.05460656705286,-0.1888138049577863,0,0.257757524374735,0.6912910129589996,6.894371941694871,22.288555830925844,0.7235785990162956,0.5354360108917631,0.6888888888888889,0.714906171484444
GRND,GRND,2772671016.992285,411545000.0,306631000.0,-2007000.0,6.064362383195725,-0.004876744948912,0,0.1941439663877251,0.7450728352914019,18.926722143881317,21.743076958962643,0.6418217292654314,0.6099185788304959,0.7555555555555555,0.6702551858379624
S,S,7611045813.147144,821461000.0,610355000.0,-238670000.0,9.492379812489144,-0.2905433124640122,0,0.3224755857645607,0.74301153676194,3.193227330054849,22.75286642567842,0.7014191334403455,0.37935966981132074,0.5555555555555556,0.6649532389691479
CFLT,CFLT,7873289235.787325,1113149000.0,825337000.0,-358708000.0,6.347173860630809,-0.3222461683027159,0,0.1551478661162548,0.7414434186258982,-16.709830218646108,22.786741758285093,0.7562201361261309,0.17847653276955608,0.3037037037037037,0.6430910280205242
BULL,BULL,3328239123.682955,513502198.0,397284897.0,60589327.0,7.537045778493347,0.1179923420697802,0,0.3158973672304448,0.7736771109205651,43.3889709300225,21.92570920969279,0.5728782415535278,0.7818574514038877,0.8481481481481481,0.641695718202183
KVYO,KVYO,3139237558.1968746,1153988000.0,867171000.0,-82528000.0,3.4715261841517195,-0.0715154750309362,0,0.2309678024969492,0.7514558210310679,15.945232746601308,21.86724579183971,0.6123583941612427,0.5031596696490022,0.6592592592592592,0.6240836104357468
AEYE,AEYE,165150578.93732643,39540000.0,31082000.0,891000.0,3.957374277625858,0.0225341426403641,0,0.1232635436493281,0.7860900354071826,14.57976862896922,18.92236822137424,0.5507577359962368,0.7619047619047619,0.837037037037037,0.6223275612564368
BLND,BLND,740560534.0745378,132561000.0,91448000.0,4690000.0,5.989473028074153,0.0353799382925596,0,-0.1818181818181817,0.6898559908268647,-14.643824352562216,20.42291793724989,0.6003328861036176,0.5080645161290321,0.6666666666666666,0.6169163312443798
ALKT,ALKT,2541961792.5941486,412504000.0,240730000.0,-26701000.0,5.383789714994639,-0.0647290692938735,0,0.2356005259862992,0.5835822198087776,17.087145669242574,21.656201979543344,0.5890178556865893,0.5392699763593382,0.6962962962962963,0.615837465839016
AVPT,AVPT,2332017619.6712008,393993000.0,293549000.0,29367000.0,7.087216320267621,0.074536857253809,0,0.1921768810404198,0.7450614604828004,26.671373829422887,21.56999966144007,0.602338352431286,0.4829149922720247,0.6481481481481481,0.6137908013605016
NCNO,NCNO,3982298818.174679,540657000.0,324788000.0,9548000.0,7.151304465076155,0.017659995154044,0,0.1345398001859223,0.6007283730720216,15.219979533996636,22.10512508225772,0.632751579105025,0.3793206883066093,0.5518518518518518,0.6125266472917317
INTA,INTA,3929495652.545929,504120000.0,372972000.0,-4646000.0,8.383897985689774,-0.0092160596683329,0,0.1709478936084716,0.7398476553201618,16.173183394013872,22.09177692216121,0.6719095856465955,0.2643868968570164,0.40370370370370373,0.6048581151608726
CCC,CCC,5857678400.094414,996961000.0,747652000.0,197844000.0,4.859045037964789,0.1984470806781809,0,0.0552085097375105,0.7499310404318724,25.365559041569146,22.491019184748733,0.5690013700865033,0.5542328042328043,0.7111111111111111,0.6045288053426553
AMPL,AMPL,1023979914.5317184,329918000.0,244022000.0,-103349000.0,3.341472470528186,-0.3132566274043853,0,0.1024018284370071,0.7396443964863997,-21.08547989673781,20.746962749632814,0.5999049379988554,0.4411024436090225,0.6148148148148148,0.6036324072028452
DUOL,DUOL,6497823059.686066,964271000.0,694213000.0,120242000.0,7.690896085940639,0.1246973101959926,0,0.2890909917328856,0.7199355782762314,41.37883019288783,22.594733044011264,0.5883293230301236,0.4573958131002482,0.6222222222222222,0.5968025478281482
CVLT,CVLT,6666695797.729492,995619000.0,816584000.0,90656000.0,6.988463255250745,0.0910549115675775,0,0.1863241691659309,0.820177196296977,27.737908073350848,22.62039019163217,0.5486372403014883,0.562726906010488,0.7222222222222222,0.5920334857816718
PEGA,PEGA,9215357892.941132,1732325000.0,1312053000.0,373321000.0,5.361136560946203,0.2155028646472226,0,0.1570586035079282,0.7573942533877881,37.25614681551508,22.94413726550621,0.6162801488862008,0.33572569444444433,0.5037037037037037,0.5881360375905764
PAYS,PAYS,288075781.47831726,74879428.0,44795388.0,13787816.0,3.866557360431723,0.1841335646954995,0,0.2825212395223997,0.598233576250075,46.66548042178992,19.478734137091912,0.5043461692315647,0.758555133079848,0.8333333333333334,0.5865929602570069
WK,WK,5305013565.286713,845522000.0,655570000.0,-17121000.0,5.710060253058717,-0.0202490295935528,0,0.1446390859370769,0.7753435156033788,12.439005634352416,22.391918166273317,0.6882042640343556,0.16094700260642927,0.27037037037037037,0.5837457906183594
PCTY,PCTY,9851588675.170898,1595221000.0,1096998000.0,403660000.0,6.2886369193803855,0.2530433087327712,0,0.1374003130091301,0.6876777575019386,39.04436217419013,23.010898566045974,0.6052237043497918,0.33158137301968316,0.4962962962962963,0.5779918523364179
VERI,VERI,581941889.0821218,98027000.0,66508000.0,-52176000.0,5.113498210514673,-0.5322615197853653,0,0.058184094908082,0.6784661368806554,-47.40774248772832,20.181881155491123,0.4685577617754116,1.051282051282051,0.8925925925925926,0.5745664694797068
FRSH,FRSH,2693731100.240815,810640000.0,687206000.0,-14644000.0,3.7932967781516025,-0.0180647389716767,0,0.1252325032619861,0.8477326556794631,10.71677642903094,21.714193096011048,0.5486056205746377,0.48020642570281136,0.6407407407407407,0.5716394006161635
APPF,APPF,5418347615.566895,906294000.0,575304000.0,156840000.0,6.01923284890653,0.1730564253983806,0,0.1411378969078396,0.6347873868744579,31.41943223062202,22.413056738124247,0.5901552613407988,0.3416233134542993,0.5111111111111111,0.5703942237833768
